7,,,,,,
5,,,,,,
clusters floor 0,,,,,,
3,,,,,,
clusters floor 1,,,,,,
0,,,,,,
cluster types,,,,,,
32,,,,,,
33,,,,,,
33,,,,,,
cluster bottleneck,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
cluster ID,,,,,,
3,3,3,3,3,3,3
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
2,2,2,2,2,2,2
tile type,,,,,,
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
tile height,,,,,,
-1,0,1,2,3,4,5
-1,0,1,2,3,4,5
-1,0,1,2,3,4,5
-1,0,1,2,3,4,5
-1,0,1,2,3,4,5
tile clearance,,,,,,
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
