7,,,,,,
9,,,,,,
clusters floor 0,,,,,,
3,,,,,,
clusters floor 1,,,,,,
0,,,,,,
cluster types,,,,,,
32,,,,,,
33,,,,,,
33,,,,,,
cluster bottleneck,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
cluster ID,,,,,,
2,1,1,1,1,1,3
2,1,1,1,1,1,3
2,1,1,1,1,1,3
2,1,1,1,1,1,3
2,1,1,1,1,1,3
2,1,1,1,1,1,3
2,1,1,1,1,1,3
2,1,1,1,1,1,3
2,1,1,1,1,1,3
tile type,,,,,,
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
tile height,,,,,,
6,5,5,5,5,5,7
6,5,5,5,5,5,6
6,5,5,5,5,5,7
6,5,5,5,5,5,7
6,5,5,5,5,5,6
6,5,5,5,5,5,7
6,5,5,5,5,5,7
6,5,5,5,5,5,6
6,5,5,5,5,5,7
tile clearance,,,,,,
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
