7,,,,,,
9,,,,,,
clusters floor 0,,,,,,
4,,,,,,
clusters floor 1,,,,,,
0,,,,,,
cluster types,,,,,,
32,,,,,,
33,,,,,,
33,,,,,,
33,,,,,,
cluster bottleneck,,,,,,
1,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
cluster ID,,,,,,
2,1,1,1,1,1,4
2,1,1,1,1,1,4
2,1,1,1,1,1,4
1,1,1,1,1,1,4
1,1,1,1,1,1,4
1,1,1,1,1,1,4
3,1,1,1,1,1,4
3,1,1,1,1,1,4
3,1,1,1,1,1,4
tile type,,,,,,
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
tile height,,,,,,
6,5,5,5,5,5,7
6,5,5,5,5,5,6
6,5,5,5,5,5,7
5,5,5,5,5,5,7
5,5,5,5,5,5,6
5,5,5,5,5,5,7
6,5,5,5,5,5,7
6,5,5,5,5,5,6
6,5,5,5,5,5,7
tile clearance,,,,,,
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
0,1,1,1,1,1,0
